product_id,date,category,brand,cost_price,base_price,actual_price,discount_percent,units_sold,demand_score,season,competitor_price,price_gap,competitor_stock,page_views,add_to_cart_rate,conversion_rate,stock_available,stock_out,lead_time_days,price_elasticity
2232,2023-06-01,Electronics,BrandD,654.06,2983.94,947.41,26.96,51.0,53.0,Normal,1642.6,-695.1899999999999,No,103.0,0.32,0.2,444,Yes,4,2.89
9808,2023-05-11,Electronics,BrandB,1089.23,2568.59,1818.18,56.27,119.0,57.0,Off-season,2388.66,-570.4799999999998,Yes,402.0,0.18,0.14,180,Yes,22,0.32
9338,2023-05-30,Home,BrandD,1378.52,2924.88,107.81,19.62,169.0,85.0,Festival,1865.57,-1757.76,No,327.0,0.4,0.06,369,Yes,5,2.06
8446,2023-11-05,Beauty,BrandB,1385.2,2612.84,1202.98,46.99,38.0,69.0,Festival,1139.92,63.059999999999945,No,1103.0,0.19,0.09,126,Yes,5,-0.05
5616,2023-09-15,Beauty,BrandD,1070.84,2350.99,910.33,24.53,44.0,97.0,Off-season,2264.69,-1354.3600000000001,No,638.0,0.35,0.09,369,No,13,3.0
5725,2023-12-10,Grocery,BrandE,973.51,2837.15,2146.69,5.91,88.0,55.0,Off-season,187.72,1958.97,Yes,1901.0,0.28,0.09,333,No,8,2.33
4677,2023-10-21,Electronics,BrandE,820.71,1317.48,1994.93,5.93,140.0,3.0,Normal,105.49,1889.44,No,465.0,0.28,0.03,97,Yes,20,0.85
7287,2023-07-11,Home,BrandB,315.64,2371.67,883.67,25.95,170.0,65.0,Off-season,710.75,172.91999999999996,Yes,1673.0,0.27,0.01,29,No,17,0.23
9480,2023-10-04,Fashion,BrandC,229.26,717.38,2172.81,3.47,82.0,8.0,Off-season,401.57,1771.24,No,338.0,0.49,0.01,456,Yes,2,2.58
2409,2023-06-10,Fashion,BrandE,754.28,2225.1,2290.91,34.3,117.0,93.0,Festival,760.99,1529.9199999999998,No,1961.0,0.45,0.07,374,No,19,1.08
9205,2023-11-10,Grocery,BrandA,281.19,2377.52,1416.95,29.62,198.0,18.0,Festival,850.11,566.84,Yes,1768.0,0.23,0.07,488,Yes,26,2.36
1256,2023-01-22,Grocery,BrandA,886.65,2177.92,465.35,42.15,193.0,,Festival,1227.72,-762.37,Yes,307.0,0.47,0.13,121,No,8,-0.27
2721,2023-09-10,Electronics,BrandD,986.27,2564.46,1944.19,11.14,107.0,59.0,Normal,1618.75,325.44000000000005,No,193.0,0.33,0.16,162,Yes,15,-0.33
2423,2023-08-24,Electronics,BrandC,812.14,1298.67,852.81,35.58,172.0,50.0,Normal,968.3,-115.49000000000001,No,1068.0,0.42,0.29,478,No,10,2.84
5953,2023-12-11,Fashion,BrandD,102.82,1679.83,1356.02,10.47,131.0,72.0,Normal,2517.45,-1161.4299999999998,No,1500.0,0.41,0.07,333,No,15,2.04
3990,2023-02-18,Fashion,BrandB,133.71,130.94,190.32,43.33,128.0,4.0,Normal,1445.03,-1254.71,No,926.0,0.48,0.23,206,Yes,25,0.24
2195,2023-02-28,Fashion,BrandE,214.34,523.55,1290.22,18.43,110.0,15.0,Festival,2288.11,-997.8900000000001,No,1776.0,0.11,0.04,97,Yes,15,2.36
5559,2023-06-19,Fashion,BrandC,272.79,1968.16,1000.24,36.86,,89.0,Festival,2101.88,-1101.64,Yes,971.0,0.35,0.22,184,Yes,19,-2.49
5365,2023-07-07,Beauty,BrandD,1485.33,1730.72,1740.28,52.96,59.0,6.0,Off-season,201.17,1539.11,Yes,97.0,0.47,0.13,64,Yes,9,-0.68
2244,2023-09-28,Electronics,BrandD,549.52,672.26,178.7,29.29,49.0,1.0,Normal,1267.96,-1089.26,No,639.0,0.04,0.2,50,No,19,-1.03
7766,2023-07-09,Electronics,BrandA,473.36,806.05,1592.37,11.54,86.0,77.0,Off-season,2112.32,-519.9500000000003,Yes,101.0,0.46,0.27,7,Yes,5,2.29
6302,2023-06-24,Fashion,BrandB,125.79,1097.84,1948.13,53.17,46.0,30.0,Normal,2364.7,-416.5699999999997,No,1178.0,0.47,0.22,37,No,3,-0.18
2306,2023-02-20,Home,BrandD,971.21,2177.6,110.92,21.51,16.0,85.0,Normal,1674.79,-1563.87,Yes,869.0,0.26,0.2,288,No,26,-0.19
3402,2023-12-30,Fashion,BrandA,995.68,1868.18,1894.91,43.82,85.0,32.0,Normal,2428.73,-533.8199999999999,No,1475.0,0.35,0.25,90,No,20,-2.34
1496,2023-02-24,Grocery,BrandC,304.4,301.76,395.09,19.21,162.0,39.0,Festival,1751.55,-1356.46,Yes,659.0,0.02,0.13,442,No,4,0.63
4399,2023-09-01,Home,BrandD,1382.9,2303.82,1769.3,17.89,7.0,58.0,Normal,605.33,1163.9699999999998,No,854.0,0.02,0.13,193,Yes,26,-0.18
1909,2023-11-16,Grocery,BrandA,1210.72,861.71,1181.77,38.52,55.0,94.0,Off-season,1487.43,-305.6600000000001,No,1859.0,0.02,0.15,184,Yes,11,-2.07
1372,2023-05-11,Home,BrandB,383.96,2048.1,1415.82,9.38,187.0,82.0,Off-season,1985.1,-569.28,No,1641.0,0.23,0.24,91,Yes,7,1.91
7236,2023-11-03,Grocery,BrandE,754.48,457.75,896.38,52.02,182.0,5.0,Festival,1759.39,-863.0100000000001,No,234.0,0.07,0.27,428,Yes,5,0.61
2344,2023-05-15,Fashion,BrandC,714.67,2993.97,674.03,23.26,6.0,45.0,Normal,290.09,383.94,Yes,957.0,0.4,0.14,118,Yes,20,2.64
9515,2023-01-21,Fashion,BrandD,555.35,332.97,251.93,1.16,64.0,39.0,Festival,677.27,-425.34,No,96.0,0.12,0.2,257,Yes,22,0.04
3431,2023-11-25,Home,BrandA,1235.57,2251.03,2172.55,18.33,24.0,42.0,Off-season,1813.26,359.2900000000002,Yes,35.0,0.09,0.23,355,No,26,0.77
5670,2023-06-16,Grocery,BrandD,208.43,1669.86,1557.24,47.1,23.0,73.0,Normal,1411.35,145.8900000000001,No,1005.0,0.18,0.15,485,Yes,27,-0.9
3784,2023-10-01,Beauty,BrandE,652.21,349.22,2458.37,51.56,113.0,11.0,Festival,157.74,2300.63,No,1710.0,0.12,0.14,308,No,19,0.17
2695,2023-03-30,Home,BrandD,670.65,177.75,2138.09,34.07,96.0,89.0,Normal,1940.65,197.44000000000005,No,943.0,0.37,0.2,368,Yes,23,-0.93
2907,2023-11-12,Home,BrandD,729.65,1151.73,2184.51,17.65,95.0,3.0,Off-season,,,No,151.0,0.19,0.02,108,Yes,5,-2.4
5814,2023-01-14,Electronics,BrandA,1298.96,2426.45,1526.8,31.67,92.0,58.0,Normal,545.77,981.03,No,726.0,0.39,0.23,262,Yes,19,-2.52
1780,2023-08-30,Home,BrandE,366.34,219.34,275.88,50.18,64.0,48.0,Normal,2359.28,-2083.4,Yes,190.0,0.41,0.06,48,No,3,-0.96
2019,2023-09-22,Beauty,BrandC,199.24,2142.76,2290.42,18.96,46.0,4.0,Festival,873.98,1416.44,Yes,761.0,0.3,0.1,166,No,12,-2.45
2403,2023-12-12,Fashion,BrandA,945.82,2000.59,365.28,23.13,135.0,93.0,Festival,166.4,198.87999999999997,No,1317.0,0.32,0.07,130,No,19,-1.84
2426,2023-02-22,Grocery,BrandE,302.06,870.06,1331.49,32.38,172.0,23.0,Normal,123.92,1207.57,Yes,623.0,0.15,0.1,435,No,13,-1.99
9855,2023-12-06,Electronics,BrandE,158.65,324.73,2153.59,53.23,156.0,34.0,Normal,2437.58,-283.9899999999998,No,738.0,0.33,0.27,309,No,4,1.44
6868,2023-04-02,Grocery,BrandD,668.64,2754.43,1223.23,34.93,30.0,4.0,Off-season,,,Yes,924.0,0.26,0.3,139,Yes,23,-0.25
1010,2023-09-21,Fashion,BrandB,368.49,971.01,480.92,12.46,56.0,4.0,Off-season,,,Yes,448.0,0.35,0.02,263,Yes,1,-2.65
7330,2023-02-04,Home,BrandB,573.76,423.01,983.14,5.35,134.0,71.0,Off-season,1123.08,-139.93999999999994,No,342.0,0.34,0.05,203,No,21,-1.66
3825,2023-07-25,Beauty,BrandC,426.58,2076.4,2471.9,5.7,158.0,98.0,Festival,617.81,1854.0900000000001,Yes,697.0,0.35,0.13,71,No,23,-2.6
8464,2023-03-22,Electronics,BrandD,184.32,728.38,2499.42,57.01,108.0,54.0,Off-season,2291.78,207.63999999999987,Yes,1969.0,0.43,0.02,305,No,20,-1.7
4003,2023-02-19,Beauty,BrandB,862.5,1479.33,1800.22,49.34,187.0,64.0,Festival,2473.14,-672.9199999999998,No,1396.0,0.3,0.14,266,No,26,0.98
8195,2023-12-26,Beauty,BrandA,89.18,246.18,2228.94,45.95,183.0,65.0,Off-season,2569.37,-340.42999999999984,Yes,1592.0,0.39,0.1,173,No,18,1.77
7720,2023-01-02,Beauty,BrandC,1451.24,2979.65,186.98,29.78,159.0,6.0,Off-season,,,No,578.0,0.17,0.16,348,No,28,2.0
4088,2023-02-23,Beauty,BrandD,544.93,1398.1,747.85,40.35,93.0,14.0,Off-season,206.93,540.9200000000001,Yes,1472.0,0.4,0.05,449,No,28,-2.05
2789,2023-04-16,Fashion,BrandA,1057.98,2997.42,972.88,7.64,60.0,77.0,Normal,2242.07,-1269.19,No,1452.0,0.16,0.13,161,Yes,27,1.17
4036,2023-09-17,Beauty,BrandB,1225.03,1218.46,109.03,37.25,188.0,76.0,Normal,523.92,-414.89,Yes,771.0,0.19,0.23,347,Yes,24,-2.31
8377,2023-11-06,Beauty,BrandB,454.7,1108.77,992.25,48.65,75.0,43.0,Off-season,1495.37,-503.1199999999999,No,76.0,0.44,0.12,185,Yes,1,2.76
8598,2023-07-10,Fashion,BrandB,1135.67,2752.26,305.14,3.73,98.0,28.0,Normal,1541.2,-1236.06,No,461.0,0.13,0.26,214,No,6,-0.56
5838,2023-08-06,Grocery,BrandB,1257.01,1055.45,1332.13,17.77,191.0,1.0,Festival,1748.11,-415.9799999999998,Yes,1077.0,0.37,0.06,225,Yes,22,-2.79
6872,2023-02-13,Fashion,BrandE,399.91,1352.82,90.69,6.62,9.0,57.0,Festival,174.7,-84.00999999999999,Yes,597.0,0.12,0.12,459,Yes,4,-2.19
4653,2023-06-11,Home,BrandC,1489.12,326.52,734.49,15.61,153.0,70.0,Normal,857.73,-123.24000000000001,No,1101.0,0.13,0.03,221,No,4,2.02
5299,2023-07-21,Fashion,BrandC,80.0,2870.84,2176.41,46.35,68.0,9.0,Off-season,1375.68,800.7299999999998,Yes,1614.0,0.31,0.03,240,No,16,-0.95
1973,2023-09-27,Grocery,BrandB,364.65,346.94,595.6,19.92,86.0,83.0,Normal,519.47,76.13,Yes,1323.0,0.03,0.17,148,Yes,23,-2.87
8083,2023-12-17,Home,BrandC,1181.03,2336.44,236.92,41.38,,88.0,Normal,2458.96,-2222.04,Yes,1113.0,0.33,0.23,265,Yes,10,0.76
6494,2023-10-31,Home,BrandA,331.49,1661.98,684.35,46.4,96.0,54.0,Festival,2168.62,-1484.27,No,1951.0,0.37,0.28,265,Yes,27,2.82
4406,2023-09-28,Electronics,BrandA,1062.48,278.07,2082.69,49.0,36.0,89.0,Off-season,431.35,1651.3400000000001,No,994.0,0.46,0.11,349,No,15,-2.8
6150,2023-08-03,Beauty,BrandC,1290.52,104.94,1500.99,52.4,157.0,41.0,Festival,1770.59,-269.5999999999999,No,1915.0,0.38,0.23,388,No,3,1.23
4129,2023-09-09,Home,BrandB,1440.86,2813.11,1498.3,35.86,96.0,,Normal,1113.67,384.6299999999999,No,161.0,0.42,0.02,24,No,29,0.58
1104,2023-07-09,Home,BrandD,737.66,2252.3,81.39,16.84,1.0,67.0,Normal,864.97,-783.58,Yes,1972.0,0.12,0.07,426,Yes,6,-2.96
8433,2023-10-23,Grocery,BrandB,1458.11,2090.67,1222.61,9.03,41.0,71.0,Off-season,813.23,409.3799999999999,No,,0.16,0.14,424,No,28,0.28
8689,2023-08-01,Home,BrandE,646.85,1371.81,722.8,30.22,195.0,12.0,Off-season,1749.92,-1027.1200000000001,Yes,1172.0,0.47,0.24,24,Yes,3,-2.04
4567,2023-07-27,Grocery,BrandD,366.29,791.98,893.63,6.21,93.0,36.0,Festival,2356.96,-1463.33,No,775.0,0.31,0.11,370,Yes,16,1.81
5348,2023-08-25,Beauty,BrandE,795.19,2071.6,1528.82,54.64,,7.0,Off-season,2187.43,-658.6099999999999,No,1917.0,0.34,0.28,259,Yes,4,-1.03
5390,2023-12-04,Electronics,BrandC,992.24,1864.07,2195.9,26.55,137.0,39.0,Off-season,959.39,1236.5100000000002,Yes,1965.0,0.34,0.21,343,Yes,7,-1.7
7811,2023-02-22,Electronics,BrandE,714.05,2206.39,519.61,52.38,30.0,92.0,Normal,1863.51,-1343.9,Yes,253.0,0.5,0.15,268,Yes,12,-0.67
2181,2023-10-07,Beauty,BrandC,872.11,1160.8,1939.1,42.56,,90.0,Normal,,,Yes,1705.0,0.36,0.18,214,No,25,1.74
5644,2023-08-05,Beauty,BrandE,653.79,2962.08,198.34,51.43,64.0,8.0,Normal,1189.73,-991.39,Yes,525.0,0.38,0.18,208,Yes,28,-1.46
6873,2023-09-09,Fashion,BrandD,810.9,294.33,870.68,53.04,129.0,77.0,Off-season,827.75,42.92999999999995,Yes,733.0,0.46,0.19,173,Yes,19,0.22
5394,2023-07-07,Home,BrandE,1431.26,331.13,609.77,3.2,136.0,59.0,Off-season,284.69,325.08,No,1954.0,0.16,0.24,62,No,28,1.15
4534,2023-02-10,Home,BrandB,774.76,2758.94,2295.71,43.52,80.0,74.0,Normal,,,No,478.0,0.41,0.23,221,Yes,4,-1.2
6844,2023-06-06,Home,BrandC,417.11,1978.35,510.75,13.59,79.0,88.0,Off-season,1507.34,-996.5899999999999,Yes,1789.0,0.02,0.14,451,No,2,0.85
6939,2023-01-15,Grocery,BrandA,1150.18,1046.37,1480.29,59.36,193.0,86.0,Normal,1916.21,-435.9200000000001,Yes,431.0,0.07,0.14,162,Yes,27,2.71
7475,2023-10-28,Fashion,BrandE,539.5,2309.66,478.78,46.7,79.0,9.0,Off-season,,,No,1823.0,0.07,0.17,84,Yes,22,0.26
2774,2023-03-06,Home,BrandC,1233.5,1413.04,1225.83,0.23,98.0,70.0,Normal,,,No,,0.01,0.06,249,No,5,-1.94
9283,2023-12-11,Grocery,BrandA,132.42,161.25,1080.43,55.64,,76.0,Festival,497.82,582.6100000000001,No,876.0,0.22,0.19,450,Yes,3,0.82
1446,2023-11-23,Grocery,BrandC,531.66,1988.2,180.08,17.54,120.0,21.0,Off-season,1597.34,-1417.26,Yes,1797.0,0.49,0.25,254,No,11,2.87
1108,2023-01-09,Electronics,BrandC,186.82,805.02,2078.6,25.0,140.0,55.0,Festival,2258.93,-180.32999999999993,No,501.0,0.15,0.12,19,Yes,19,1.54
4239,2023-12-10,Grocery,BrandA,173.71,434.47,1967.87,36.74,5.0,45.0,Normal,2422.84,-454.97000000000025,No,55.0,0.1,0.12,117,No,14,-1.65
6931,2023-05-09,Beauty,BrandA,1004.66,753.29,752.42,54.98,152.0,17.0,Festival,2310.75,-1558.33,No,356.0,0.23,0.18,429,Yes,16,-0.77
5053,2023-05-16,Grocery,BrandD,608.74,1480.86,1565.87,55.64,190.0,72.0,Off-season,2278.35,-712.48,No,650.0,0.37,0.13,205,Yes,2,-2.41
5537,2023-03-04,Beauty,BrandE,1313.64,244.58,957.66,33.81,186.0,85.0,Festival,1594.35,-636.6899999999999,Yes,1906.0,0.03,0.06,54,Yes,6,-0.03
7361,2023-05-19,Beauty,BrandE,798.79,2661.14,1941.53,19.0,89.0,58.0,Normal,692.29,1249.24,Yes,1701.0,0.27,0.04,318,No,14,-1.05
2245,2023-03-22,Electronics,BrandC,478.25,1723.76,1755.81,16.75,107.0,60.0,Festival,1962.33,-206.51999999999998,No,414.0,0.24,0.18,381,No,14,0.32
3720,2023-06-12,Electronics,BrandB,1095.29,949.69,298.93,21.86,173.0,51.0,Normal,1905.76,-1606.83,No,595.0,0.29,0.13,246,Yes,21,-2.09
9469,2023-10-16,Grocery,BrandB,954.82,2092.31,2122.94,10.83,142.0,8.0,Normal,499.97,1622.97,No,175.0,0.31,0.24,145,Yes,14,2.9
8741,2023-09-18,Electronics,BrandC,1209.41,2432.29,514.21,40.19,65.0,,Festival,570.97,-56.75999999999999,Yes,550.0,0.15,0.22,32,No,4,-0.81
6105,2023-08-19,Electronics,BrandD,983.2,1880.38,501.35,31.67,85.0,63.0,Normal,,,Yes,1309.0,0.16,0.27,61,No,19,0.09
3922,2023-02-10,Home,BrandA,292.17,687.23,1855.67,46.41,41.0,13.0,Normal,1336.69,518.98,No,879.0,0.22,0.17,248,Yes,4,3.0
3513,2023-01-28,Grocery,BrandC,1021.95,419.84,523.47,5.65,144.0,75.0,Off-season,890.34,-366.87,No,1360.0,0.49,0.06,255,Yes,18,-0.97
3801,2023-05-15,Grocery,BrandE,617.75,2593.71,376.2,23.99,126.0,16.0,Normal,2348.31,-1972.11,Yes,938.0,0.3,0.09,273,Yes,18,-0.77
7981,2023-07-20,Grocery,BrandB,721.56,780.59,892.11,14.39,22.0,16.0,Festival,172.36,719.75,Yes,726.0,0.09,0.28,414,No,23,1.82
9221,2023-11-24,Electronics,BrandB,1386.27,158.24,2109.68,32.11,142.0,50.0,Normal,896.69,1212.9899999999998,No,1178.0,0.09,0.1,283,Yes,19,-2.56
7502,2023-09-25,Electronics,BrandB,571.95,1964.42,507.88,28.09,165.0,55.0,Off-season,2287.57,-1779.69,Yes,665.0,0.35,0.15,134,No,28,-1.42
7038,2023-02-02,Beauty,BrandD,937.34,543.37,900.56,26.97,55.0,23.0,Normal,2597.47,-1696.9099999999999,Yes,1424.0,0.24,0.13,99,Yes,12,-0.05
7229,2023-02-17,Fashion,BrandE,577.05,2973.81,772.73,18.94,161.0,76.0,Normal,1902.01,-1129.28,Yes,1457.0,0.43,0.27,170,Yes,1,0.44
1364,2023-03-03,Fashion,BrandD,187.35,2622.22,941.67,43.61,64.0,35.0,Normal,2349.68,-1408.0099999999998,No,1535.0,0.24,0.23,163,Yes,19,1.96
2800,2023-08-04,Fashion,BrandA,707.61,1864.49,1808.54,28.89,104.0,61.0,Normal,120.63,1687.9099999999999,Yes,882.0,0.02,0.02,307,Yes,21,1.5
6958,2023-10-20,Home,BrandC,915.74,2518.21,1061.23,12.13,,17.0,Off-season,2024.8,-963.5699999999999,No,1606.0,0.32,0.15,163,No,3,1.32
8436,2023-04-09,Electronics,BrandC,640.88,1464.55,1918.18,32.85,111.0,93.0,Normal,,,Yes,1222.0,0.14,0.15,248,No,5,-0.68
5793,2023-06-21,Beauty,BrandB,616.47,2386.61,1629.78,35.8,86.0,54.0,Normal,1819.89,-190.11000000000013,No,462.0,0.49,0.03,424,Yes,21,2.83
9160,2023-12-26,Beauty,BrandB,1239.55,1974.95,953.86,1.28,33.0,41.0,Normal,1163.5,-209.64,No,1853.0,0.01,0.11,361,Yes,7,1.98
1179,2023-08-02,Fashion,BrandA,93.04,183.07,1126.02,12.23,143.0,64.0,Festival,1514.66,-388.6400000000001,Yes,21.0,0.11,0.13,404,Yes,7,-0.17
4873,2023-02-04,Home,BrandD,478.6,2851.4,1782.77,14.54,100.0,13.0,Normal,735.2,1047.57,No,315.0,0.33,0.26,421,Yes,12,-0.95
4960,2023-08-15,Home,BrandE,1227.05,2596.67,1374.11,14.88,177.0,9.0,Off-season,,,No,407.0,0.1,0.29,245,Yes,5,-2.98
2186,2023-04-11,Fashion,BrandA,1384.77,2864.88,2181.38,14.33,111.0,4.0,Normal,812.86,1368.52,Yes,900.0,0.35,0.11,321,No,7,-0.68
1773,2023-05-11,Fashion,BrandC,647.83,2220.96,2338.3,16.3,196.0,21.0,Off-season,786.23,1552.0700000000002,Yes,181.0,0.26,0.16,296,Yes,21,-2.68
5460,2023-09-14,Electronics,BrandC,1338.75,1294.98,1816.85,15.76,169.0,92.0,Festival,904.33,912.5199999999999,Yes,1188.0,0.08,0.28,308,Yes,22,-1.17
1352,2023-01-05,Home,BrandD,338.45,700.26,2473.88,53.04,189.0,95.0,Off-season,585.93,1887.9500000000003,Yes,1417.0,0.21,0.15,289,Yes,1,-1.82
7943,2023-08-06,Beauty,BrandA,371.07,621.99,1523.62,19.18,11.0,94.0,Normal,641.33,882.2899999999998,Yes,1791.0,0.28,0.1,323,No,15,-1.04
6202,2023-09-12,Fashion,BrandE,1276.98,520.26,176.39,20.99,196.0,36.0,Off-season,2427.44,-2251.05,No,1543.0,0.28,0.04,7,No,13,-2.63
6344,2023-12-25,Electronics,BrandA,1359.72,739.77,1301.74,15.97,86.0,32.0,Festival,1225.23,76.50999999999999,No,1210.0,0.25,0.18,487,No,2,1.66
5507,2023-10-10,Beauty,BrandA,373.07,1696.84,636.62,58.05,71.0,93.0,Normal,1627.64,-991.0200000000001,No,1343.0,0.37,0.19,414,Yes,24,-2.47
5830,2023-07-26,Home,BrandD,136.02,2082.86,887.59,32.13,127.0,96.0,Festival,1520.86,-633.2699999999999,Yes,83.0,0.19,0.14,81,No,21,1.31
1117,2023-01-15,Fashion,BrandE,180.97,1010.76,1265.97,36.63,79.0,9.0,Normal,748.82,517.15,Yes,335.0,0.31,0.22,186,No,8,2.61
1481,2023-12-12,Fashion,BrandC,429.0,1691.37,794.02,44.13,83.0,63.0,Festival,80.45,713.5699999999999,No,,0.1,0.15,82,No,23,-0.06
5287,2023-02-11,Electronics,BrandB,1154.1,1089.63,829.28,20.02,27.0,57.0,Normal,342.91,486.36999999999995,Yes,1400.0,0.49,0.22,474,Yes,22,1.71
7802,2023-06-28,Electronics,BrandE,789.49,2119.88,1052.88,58.13,157.0,62.0,Festival,2173.57,-1120.69,Yes,58.0,0.13,0.05,368,No,2,2.66
9298,2023-03-04,Home,BrandC,710.6,2966.61,773.23,9.14,49.0,34.0,Festival,355.57,417.66,Yes,289.0,0.43,0.04,84,No,23,0.23
5477,2023-12-18,Fashion,BrandD,897.0,2098.15,490.19,27.47,144.0,48.0,Off-season,,,Yes,996.0,0.1,0.23,345,No,4,-1.42
7533,2023-08-19,Electronics,BrandE,1340.82,271.19,1932.66,8.73,137.0,27.0,Off-season,2380.32,-447.6600000000001,Yes,1788.0,0.48,0.25,404,Yes,11,-2.87
1243,2023-08-29,Fashion,BrandE,181.12,1483.98,1036.41,47.42,94.0,54.0,Normal,,,Yes,462.0,0.49,0.07,367,Yes,10,-0.4
8012,2023-02-21,Home,BrandC,1057.35,2334.12,2092.85,6.44,10.0,8.0,Normal,214.25,1878.6,No,1845.0,0.14,0.03,259,Yes,6,-2.08
1865,2023-04-06,Fashion,BrandC,1393.85,1672.5,2216.18,33.23,174.0,74.0,Festival,1701.5,514.6799999999998,No,828.0,0.12,0.03,264,Yes,20,2.13
6329,2023-08-10,Beauty,BrandA,359.36,2858.08,1897.33,6.29,135.0,44.0,Off-season,1379.52,517.81,No,829.0,0.38,0.08,434,Yes,5,1.75
1603,2023-08-19,Fashion,BrandA,1264.77,258.84,1039.95,27.16,30.0,26.0,Normal,999.56,40.3900000000001,Yes,1490.0,0.34,0.17,439,Yes,5,1.41
6756,2023-08-25,Grocery,BrandE,1062.14,944.35,1825.6,16.82,100.0,31.0,Off-season,1333.93,491.66999999999985,Yes,1104.0,0.36,0.19,441,Yes,22,-2.44
5018,2023-05-23,Grocery,BrandB,70.98,740.08,455.63,54.2,164.0,,Normal,460.65,-5.019999999999982,No,1411.0,0.05,0.26,323,Yes,2,0.89
6192,2023-06-20,Home,BrandD,385.84,2326.1,1679.9,3.19,160.0,20.0,Off-season,2486.03,-806.1300000000001,No,17.0,0.28,0.26,190,Yes,3,-1.13
3015,2023-01-29,Home,BrandC,928.47,1619.0,1062.6,39.0,136.0,75.0,Normal,512.16,550.4399999999999,Yes,309.0,0.34,0.26,41,Yes,11,-0.08
4380,2023-02-05,Home,BrandA,778.48,501.2,1666.66,41.72,173.0,6.0,Off-season,548.95,1117.71,No,1275.0,0.17,0.08,102,No,12,2.83
4770,2023-01-13,Beauty,BrandD,815.51,928.22,1906.59,53.34,130.0,21.0,Festival,1009.49,897.0999999999999,Yes,1314.0,0.35,0.17,34,Yes,26,-2.44
6829,2023-06-09,Beauty,BrandE,386.3,1615.71,1441.7,52.66,12.0,95.0,Normal,,,No,901.0,0.21,0.19,309,No,24,0.93
2613,2023-11-23,Fashion,BrandC,1028.76,2988.77,1634.8,58.62,155.0,53.0,Off-season,868.38,766.42,No,1840.0,0.17,0.15,271,No,19,2.57
2879,2023-07-06,Electronics,BrandC,436.31,1156.45,596.74,15.23,51.0,66.0,Festival,180.42,416.32000000000005,No,1155.0,0.4,0.02,80,Yes,12,-2.69
6372,2023-08-31,Grocery,BrandA,614.68,554.8,1514.33,16.49,188.0,75.0,Normal,1627.97,-113.6400000000001,No,1322.0,0.11,0.12,454,Yes,5,0.73
5108,2023-03-27,Grocery,BrandB,584.93,1541.49,1194.35,23.84,151.0,57.0,Off-season,687.63,506.7199999999999,Yes,850.0,0.01,0.05,322,Yes,14,0.55
9978,2023-10-11,Grocery,BrandC,1024.44,999.54,1115.89,32.25,,76.0,Normal,2526.86,-1410.97,Yes,436.0,0.39,0.01,291,Yes,21,0.56
